world,phase,pair_codes,pair_sequence,quest_id,task_heb,option_a_code,option_a_asset,option_a_tooltip_heb,option_b_code,option_b_asset,option_b_tooltip_heb
studio,tb,ir,1,studio_tie_01,"""בום! המכונה המרכזית הושבתה בדיוק בשיא הלחץ. מה עושים עכשיו?""",r,studio_tie_01_a,ארגז כלי עבודה ,i,studio_tie_01_b,טאבלט דיגיטלי לאבחון נתונים 
studio,tb,ar,1,studio_tie_02,"""פרויקט חדש יוצא לדרך! מה הדבר הראשון שנביא לסטודיו כדי להתחיל?""",r,studio_tie_02_a,ערימת קרשים ,a,studio_tie_02_b,קיר השראה/Moodboard)
studio,tb,rs,1,studio_tie_03,"""אנחנו רוצים שמי שנכנס לסטודיו ירגיש מיד את האנרגיה שלנו. מה יהיה בלב המקום?""",r,studio_tie_03_a,שולחן עבודה מרכזי,s,studio_tie_03_b,קיר 'הסיפור שלנו'
studio,tb,er,1,studio_tie_04,"""הסטודיו מתרחב! מה הצעד המקצועי הבא שהכי חשוב לנו להוסיף עכשיו?""",r,studio_tie_04_a,מכונת CNC תעשייתית,e,studio_tie_04_b,חלל פרזנטציה יוקרתי 
studio,tb,cr,1,studio_tie_05,"""היום טס והמשימות נערמות. אני מרגיש קצת אבוד איך נחזיר את השליטה בסטודיו?""",r,studio_tie_05_a,לוח משימות שטח ,c,studio_tie_05_b,"עמדת ניהול פרוייקטים, זמנים ותקציב "
studio,tb,ai,1,studio_tie_06,"""קיבלנו בקשה לעיצוב פסיכי שעוד לא נעשה. עם מה נתחיל?""",i,studio_tie_06_a,עמדת מיקרוסקופ ,a,studio_tie_06_b,פינת צבע וניסוי 
studio,tb,is,1,studio_tie_07,"""צברנו מלא ידע בפרויקט האחרון. איך נשמור אותו לדורות הבאים?""",i,studio_tie_07_a,ארון שרתים לשמירה על הדאטה והידע הדיגיטלי.,s,studio_tie_07_b,לוח טיפים שיתופי לשיתוף ידע 
studio,tb,ei,1,studio_tie_08,"""ההמצאה שלנו מוכנה לפריצה לעולם! איך נכריז עליה?""",i,studio_tie_08_a,אב-טיפוס בתיבת זכוכית,e,studio_tie_08_b,פודיום למסיבת עיתונאים 
studio,tb,ci,1,studio_tie_09,"""רגע לפני שהכל נשלח, איך נוודא שהעבודה יצאה מושלמת?""",i,studio_tie_09_a,סורק ידני לבדיקת איכות,c,studio_tie_09_b,אזור אריזה 
studio,tb,as,1,studio_tie_10,"""ערב הגאלה המקצועי שלנו כאן! מה יהיה ה-Wow של האירוע?""",a,studio_tie_10_a,מיצב תאורה אמנותי ,s,studio_tie_10_b,שולחנות בר  מרחב לנטוורקינג
studio,tb,ae,1,studio_tie_11,"""לקוח רציני בפתח. איך נראה לו מי אנחנו באמת?""",a,studio_tie_11_a,ציור קיר מלא,e,studio_tie_11_b,קיר 'ההצלחות שלנו' 
studio,tb,ac,1,studio_tie_12,"""הגיע הזמן לרענן את הסטודיו. מה נראה לך שכדי לעשות?""",a,studio_tie_12_a,החלפת תערוכה בגלריה (קומה 2),c,studio_tie_12_b,לוח ציר זמן להצגת הדרך שעברנו.
studio,tb,es,1,studio_tie_13,"""החלטנו להתרחב מעבר לסטודיו! מה יהיה המהלך הבא שלנו?""",s,studio_tie_13_a, מיזם קהילתי בר-קיימה,e,studio_tie_13_b,חנות דגל ממותגת 
studio,tb,cs,1,studio_tie_14,"""הסטודיו עמוס במבקרים ונוצר בלגן בחוץ. איך ננהל את זה?""",s,studio_tie_14_a,אזור ישיבה בדלפק הקבלה ,c,studio_tie_14_b,אפליקציית ניהול תורים
studio,tb,ce,1,studio_tie_15,"""לקוח ענק רוצה הוכחה שאנחנו אמינים. מה נציג לו?""",e,studio_tie_15_a,מסך מדדי הצלחה ורווחיות ,c,studio_tie_15_b,קלסר תכנית עבודה מפורט 
